X,Y,Text,tipo,angulo,icon_url
-49.4980650053105,-28.3971104847748,"0",Galeria,"135",./0.png
-49.4901888905677,-28.3938802731251,TV 12,Travessa,"45",./0.png
-49.4899669717102,-28.3937872670453,TV 11,Travessa,"45",./0.png
-49.4897461791218,-28.3936948825613,TV 10,Travessa,"45",./0.png
-49.4895263850194,-28.3935943522129,TV 9,Travessa,"45",./0.png
-49.4893077009289,-28.3935032556942,TV 8,Travessa,"45",./0.png
-49.4890850044796,-28.3934088167473,TV 7,Travessa,"45",./0.png
-49.4888640706547,-28.3933172593665,TV 6,Travessa,"45",./0.png
-49.4748879169361,-28.3987774394232,TV 43,Travessa,"45",./0.png
-49.4752059944025,-28.3988986817827,TV 45,Travessa,"45",./0.png
-49.4753665977265,-28.3989601480114,TV 46,Travessa,"45",./0.png
-49.4783176964418,-28.4002761476681,TV 65,Travessa,"45",./0.png
-49.4784999762016,-28.4003454715662,TV 66,Travessa,"45",./0.png
-49.4786545478676,-28.4004045543607,TV 67,Travessa,"45",./0.png
-49.4788186489461,-28.4004672793757,TV 68,Travessa,"45",./0.png
-49.4789913893074,-28.4005333063293,TV 69,Travessa,"45",./0.png
-49.4791057605362,-28.4005820357368,TV 70,Travessa,"45",./0.png
-49.4823092805426,-28.4028101534837,TV 16,Travessa,"45",./0.png
-49.482103121274,-28.4027532398994,TV 15,Travessa,"45",./0.png
-49.4821597585864,-28.4021629459756,TV 14,Travessa,"45",./0.png
-49.4821327101466,-28.4017359175903,TV 13,Travessa,"45",./0.png
-49.48193785294,-28.4016590399929,TV 12,Travessa,"45",./0.png
-49.4817444617588,-28.401578808429,TV 11,Travessa,"45",./0.png
-49.4815747114758,-28.4013126625558,TV 10,Travessa,"45",./0.png
-49.4813996249643,-28.4012377993031,TV 9,Travessa,"45",./0.png
-49.4812198927134,-28.4011728496707,TV 8,Travessa,"45",./0.png
-49.4810408119571,-28.4011065121812,TV 7,Travessa,"45",./0.png
-49.4808640335109,-28.4010385782683,TV 6,Travessa,"45",./0.png
-49.4806869097289,-28.4009703851769,TV 5,Travessa,"45",./0.png
-49.480507452491,-28.4009006692374,TV 4,Travessa,"45",./0.png
-49.480329151026,-28.400834368244,TV 3,Travessa,"45",./0.png
-49.4801500700446,-28.4007658125975,TV 2,Travessa,"45",./0.png
-49.4799740342566,-28.4006971098526,TV 1,Travessa,"45",./0.png
-49.4798690794678,-28.4005472057241,TV 0,Travessa,"45",./0.png
-49.4983782238188,-28.3968712886589,TV 2,Travessa,"45",./0.png
-49.4984906965805,-28.3966588388488,TV 1,Travessa,"45",./0.png
-49.4982656308261,-28.3970817861143,TV 3,Travessa,"45",./0.png
-49.498148706272,-28.3972968708623,TV 4,Travessa,"45",./0.png
-49.498035190203,-28.3975089491285,TV 5,Travessa,"45",./0.png
-49.4997508695923,-28.3936657591949,TV 7,Travessa,"45",./0.png
-49.4996155924001,-28.3939185868407,TV 6,Travessa,"45",./0.png
-49.4994800330173,-28.3941714342261,TV 5,Travessa,"45",./0.png
-49.499344805479,-28.3944243514422,TV 4,Travessa,"45",./0.png
-49.4992098055095,-28.3946772325096,TV 3,Travessa,"45",./0.png
-49.4990742842767,-28.3949301340728,TV 2,Travessa,"45",./0.png
-49.4989462545675,-28.3951877808785,TV 1,Travessa,"45",./0.png
-49.4988035428466,-28.3954357984907,TV 0,Travessa,"45",./0.png
-49.4986035137449,-28.3964477010974,TV 0,Travessa,"45",./0.png
-49.4934664195983,-28.3928905212492,TV 1,Travessa,"45",./0.png
-49.4935938616032,-28.3926355811207,TV 2,Travessa,"45",./0.png
-49.4937349544315,-28.3923816451814,TV 3,Travessa,"45",./0.png
-49.4938699000397,-28.392128894628,TV 4,Travessa,"45",./0.png
-49.4940059343674,-28.3918756669316,TV 5,Travessa,"45",./0.png
-49.4941550949482,-28.3916289584594,TV 6,Travessa,"45",./0.png
-49.4942753585821,-28.3913713527869,TV 7,Travessa,"45",./0.png
-49.4943636031425,-28.3911003166547,TV 8,Travessa,"45",./0.png
-49.4944957040762,-28.3908436203334,TV 9,Travessa,"45",./0.png
-49.4946352493519,-28.3905957631022,TV 10,Travessa,"45",./0.png
-49.4947754600113,-28.3903442141589,TV 11,Travessa,"45",./0.png
-49.5048761738696,-28.3950464113691,TV 7,Travessa,"45",./0.png
-49.4935994913708,-28.3930325638132,TV 1,Travessa,"45",./0.png
-49.4932013483346,-28.3928667786055,TV 2,Travessa,"45",./0.png
-49.4926457591112,-28.3916175219992,"2",Galeria,"135",./0.png
-49.4929134579668,-28.3911114644464,"1",Galeria,"135",./0.png
-49.4930491560285,-28.3908589123413,"3",Galeria,"135",./0.png
-49.4931842778986,-28.3906042923951,"5",Galeria,"135",./0.png
-49.4933170453422,-28.3903501108261,"7",Galeria,"135",./0.png
-49.4934565069524,-28.3900999113888,"9",Galeria,"135",./0.png
-49.4910671667405,-28.3918853105328,TV 1,Travessa,"45",./0.png
-49.4910218309195,-28.391556476487,TV 2,Travessa,"45",./0.png
-49.4911600477433,-28.3913056813166,TV 3,Travessa,"45",./0.png
-49.4912954722781,-28.3910529389635,TV 4,Travessa,"45",./0.png
-49.491431193151,-28.3908001459997,TV 5,Travessa,"45",./0.png
-49.491566602337,-28.3905472428959,TV 6,Travessa,"45",./0.png
-49.4918746265901,-28.3903690655465,TV 7,Travessa,"45",./0.png
-49.4920111022644,-28.3901138646765,TV 8,Travessa,"45",./0.png
-49.492144200012,-28.3898623110911,TV 9,Travessa,"45",./0.png
-49.4925992153969,-28.3897420231383,TV 10,Travessa,"45",./0.png
-49.4931476709854,-28.3896614872452,TV 11,Travessa,"45",./0.png
-49.4868121519571,-28.3925400566271,TV 0,Travessa,"45",./0.png
-49.4868838492715,-28.3924005900141,TV 1,Travessa,"45",./0.png
-49.4869642496082,-28.3922640961681,TV 2,Travessa,"45",./0.png
-49.4870352674136,-28.3921257021078,TV 3,Travessa,"45",./0.png
-49.4871048805568,-28.3919846699585,TV 4,Travessa,"45",./0.png
-49.4871760088491,-28.3918474109735,TV 5,Travessa,"45",./0.png
-49.4872692988012,-28.3916419200576,TV 6,Travessa,"45",./0.png
-49.4873650231975,-28.3914443321909,TV 7,Travessa,"45",./0.png
-49.4874711436888,-28.3912490335221,TV 8,Travessa,"45",./0.png
-49.4875729363587,-28.3910509705144,TV 9,Travessa,"45",./0.png
-49.4876963423655,-28.3908624722284,TV 10,Travessa,"45",./0.png
-49.4877923706541,-28.3906628285208,TV 11,Travessa,"45",./0.png
-49.4879026400572,-28.390472153552,TV 12,Travessa,"45",./0.png
-49.4880109366934,-28.3902788151487,TV 13,Travessa,"45",./0.png
-49.488116221733,-28.3900819068338,TV 14,Travessa,"45",./0.png
-49.4882178093658,-28.3898838734682,TV 15,Travessa,"45",./0.png
-49.4883268583276,-28.3896881937942,TV 16,Travessa,"45",./0.png
-49.4872366819801,-28.3893572093362,"10",Galeria,"135",./0.png
-49.4885514777053,-28.38991294366,"1",Galeria,"135",./0.png
-49.4883317491854,-28.389821475285,"0",Galeria,"135",./0.png
-49.487445883622,-28.3894521736043,"8",Galeria,"135",./0.png
-49.4878881883105,-28.3896382515912,"4",Galeria,"135",./0.png
-49.4876669699581,-28.3895441252524,"6",Galeria,"135",./0.png
-49.4887729962258,-28.3900049175595,"3",Galeria,"135",./0.png
-49.4881081327399,-28.389728678562,"2",Galeria,"135",./0.png
-49.48840421395,-28.3894763499714,TV 17,Travessa,"45",./0.png
-49.488529341679,-28.3892232369119,TV 18,Travessa,"45",./0.png
-49.4886563265847,-28.3889867605819,TV 19,Travessa,"45",./0.png
-49.4887843642445,-28.3887502234113,TV 20,Travessa,"45",./0.png
-49.4889121700093,-28.3885142518256,TV 21,Travessa,"45",./0.png
-49.489056257332,-28.3882450852675,TV 22,Travessa,"45",./0.png
-49.4892003439007,-28.3879759185189,TV 23,Travessa,"45",./0.png
-49.4893444297155,-28.3877067515798,TV 24,Travessa,"45",./0.png
-49.4894885147763,-28.3874375844503,TV 25,Travessa,"45",./0.png
-49.4896325990832,-28.3871684171303,TV 26,Travessa,"45",./0.png
-49.4897772046531,-28.3869011003263,TV 27,Travessa,"45",./0.png
-49.4900648474803,-28.3863609140276,TV 29,Travessa,"45",./0.png
-49.4902089287715,-28.3860917459458,TV 30,Travessa,"45",./0.png
-49.4895121530928,-28.3876090520667,"0",Galeria,"135",./0.png
-49.489210374351,-28.3874830060961,"2",Galeria,"135",./0.png
-49.4889060048191,-28.3873555850552,"4",Galeria,"135",./0.png
-49.4886015996813,-28.3872281481377,"6",Galeria,"135",./0.png
-49.4882972680172,-28.3871007410091,"8",Galeria,"135",./0.png
-49.487789899165,-28.3873818858277,"10",Galeria,"135",./0.png
-49.4898128776313,-28.3877340711738,"1",Galeria,"135",./0.png
-49.490122258465,-28.3878645214853,"3",Galeria,"135",./0.png
-49.4904278600179,-28.3879926837128,"5",Galeria,"135",./0.png
-49.4903530093088,-28.3858225776736,TV 31,Travessa,"45",./0.png
-49.4904970890923,-28.3855534092109,TV 32,Travessa,"45",./0.png
-49.4906254516003,-28.3852773947184,TV 33,Travessa,"45",./0.png
-49.4909293239202,-28.3847459026806,TV 35,Travessa,"45",./0.png
-49.4910674422295,-28.3845031651821,TV 36,Travessa,"45",./0.png
-49.4912041676828,-28.3842591656996,TV 37,Travessa,"45",./0.png
-49.4913281342763,-28.3840162443279,TV 38,Travessa,"45",./0.png
-49.4914719753515,-28.3837711032621,TV 39,Travessa,"45",./0.png
-49.4916002374247,-28.3835270093523,TV 40,Travessa,"45",./0.png
-49.4917432237958,-28.3832853731905,TV 41,Travessa,"45",./0.png
-49.4918787167384,-28.3830442383195,TV 42,Travessa,"45",./0.png
-49.4919927589338,-28.3827930793014,TV 43,Travessa,"45",./0.png
-49.4921184276378,-28.3825346917614,TV 44,Travessa,"45",./0.png
-49.4922432570976,-28.3822991029809,TV 45,Travessa,"45",./0.png
-49.4907645555031,-28.3850047833997,TV 34,Travessa,"45",./0.png
-49.4923754658426,-28.3820488871627,TV 46,Travessa,"45",./0.png
-49.4925203509675,-28.3818146971282,TV 47,Travessa,"45",./0.png
-49.4926528394458,-28.3816092256002,TV 48,Travessa,"45",./0.png
-49.4927472297018,-28.381390428284,TV 49,Travessa,"45",./0.png
-49.4928572224872,-28.3811784053213,TV 50,Travessa,"45",./0.png
-49.4929739252716,-28.3809671337728,TV 51,Travessa,"45",./0.png
-49.4930932968352,-28.3807577562542,TV 52,Travessa,"45",./0.png
-49.4932021337679,-28.3805445459349,TV 53,Travessa,"45",./0.png
-49.4906931841264,-28.3881257311262,TV 0,Travessa,"45",./0.png
-49.4910009149789,-28.3882392269851,TV 1,Travessa,"45",./0.png
-49.4913304037626,-28.3883224468897,TV 2,Travessa,"45",./0.png
-49.491092257306,-28.3884370927277,"0",Galeria,"135",./0.png
-49.4912339548572,-28.3881642566088,"2",Galeria,"135",./0.png
-49.4913792517809,-28.3878968770289,"4",Galeria,"135",./0.png
-49.4908066179547,-28.3851914124596,"0",Galeria,"135",./0.png
-49.4905022527537,-28.3850639951212,"2",Galeria,"135",./0.png
-49.4901978883064,-28.3849365771282,"4",Galeria,"135",./0.png
-49.4899202438311,-28.3848266322435,"6",Galeria,"135",./0.png
-49.4896412840049,-28.3847146510274,"8",Galeria,"135",./0.png
